Problem,Method,Seed,Period,Error,Success Rate
MDSLEN,PushGP+EP+ARM,1017,Test,356.0,False
MDSLEN,PushGP+EP+ARM,1018,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1018,Test,0.0,True
MDSLEN,PushGP+EP+ARM,1019,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1019,Test,0.0,True
MDSLEN,PushGP+EP+ARM,1020,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1020,Test,0.0,True
MDSLEN,PushGP+EP+ARM,1021,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1021,Test,0.0,True
MDSLEN,PushGP+EP+ARM,1022,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1022,Test,16.0,False
MDSLEN,PushGP+EP+ARM,1023,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1023,Test,5.0,False
MDSLEN,PushGP+EP+ARM,1024,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1024,Test,39.0,False
MDSLEN,PushGP+EP+ARM,1025,Train,0.0,True
MDSLEN,PushGP+EP+ARM,1025,Test,2.0,False
MDSLEN,PushGP+HP+ARM,1001,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1001,Test,0.0,True
MDSLEN,PushGP+HP+ARM,1002,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1002,Test,0.0,True
MDSLEN,PushGP+HP+ARM,1003,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1003,Test,61.0,False
MDSLEN,PushGP+HP+ARM,1004,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1004,Test,0.0,True
MDSLEN,PushGP+HP+ARM,1005,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1005,Test,0.0,True
MDSLEN,PushGP+HP+ARM,1006,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1006,Test,0.0,True
MDSLEN,PushGP+HP+ARM,1007,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1007,Test,0.0,True
MDSLEN,PushGP+HP+ARM,1008,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1008,Test,40.0,False
MDSLEN,PushGP+HP+ARM,1009,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1009,Test,0.0,True
MDSLEN,PushGP+HP+ARM,1010,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1010,Test,0.0,True
MDSLEN,PushGP+HP+ARM,1011,Train,0.0,True
